"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.125616312,0,0.125616312,0,0.1256160736,0,0.1256160736,-0.01919663143,0.1256160736,0,
0.1356263161,0,0.1356263161,0,0.1356263161,0,0.1356263161,-0.01960897923,0.1356263161,0,
0.1456131935,0,0.1456131935,0,0.1456129551,0,0.1456129551,-0.01960897923,0.1456129551,0,
0.1556243896,0,0.1556243896,0,0.1556241512,0,0.1556241512,-0.01919663143,0.1556241512,0,
0.1656057835,0,0.1656057835,0,0.1656053066,0,0.1656053066,-0.01785657597,0.1656053066,0,
0.1756265163,0,0.1756265163,0,0.1756260395,0,0.1756260395,-0.01826892376,0.1756260395,0,
0.1856398582,0,0.1856398582,0,0.1856398582,0,0.1856398582,-0.01837193584,0.1856398582,0,
0.1956219673,0,0.1956219673,0,0.1956214905,0,0.1956214905,-0.01816576195,0.1956214905,0,
0.2056241035,0,0.2056241035,0,0.2056238651,0,0.2056238651,-0.01651637077,0.2056238651,0,
0.2156252861,0,0.2156252861,0,0.2156250477,0,0.2156250477,-0.01672254467,0.2156250477,0,
0.2256362438,0,0.2256362438,0,0.2256362438,0,0.2256362438,-0.01837193584,0.2256362438,0,
0.2356441021,0,0.2356441021,0,0.2356438637,0,0.2356438637,-0.01826892376,0.2356438637,0,
0.2456197739,0,0.2456197739,0,0.2456195354,0,0.2456195354,-0.01857810974,0.2456195354,0,
0.2556409836,0,0.2556409836,0,0.2556407452,0,0.2556407452,-0.02002147675,0.2556407452,0,
0.2656357288,0,0.2656357288,0,0.2656354904,0,0.2656354904,-0.02002147675,0.2656354904,0,
0.2756125927,0,0.2756125927,0,0.2756123543,0,0.2756123543,-0.02033066273,0.2756123543,0,
0.2856292725,0,0.2856292725,0,0.2856292725,0,0.2856292725,-0.01909361935,0.2856292725,0,
0.2956404686,0,0.2956404686,0,0.2956402302,0,0.2956402302,-0.02012448883,0.2956402302,0,
0.3056287766,0,0.3056287766,0,0.3056285381,0,0.3056285381,-0.01909361935,0.3056285381,0,
0.3156402111,0,0.3156402111,0,0.3156399727,0,0.3156399727,-0.01837193584,0.3156399727,0,
0.3256258965,0,0.3256258965,0,0.325625658,0,0.325625658,-0.01878428364,0.325625658,0,
0.3356406689,0,0.3356406689,0,0.3356406689,0,0.3356406689,-0.01744407845,0.3356406689,0,
0.3456375599,0,0.3456375599,0,0.3456375599,0,0.3456375599,-0.01940280533,0.3456375599,0,
