"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1260221004,0,0.1260221004,0,0.126021862,0,0.126021862,-0.01744407845,0.126021862,0,
0.1360199451,0,0.1360199451,0,0.1360199451,0,0.1360199451,-0.01765025234,0.1360199451,0,
0.1460206509,0,0.1460206509,0,0.1460206509,0,0.1460206509,-0.01754724026,0.1460206509,0,
0.1560096741,0,0.1560096741,0,0.1560094357,0,0.1560094357,-0.01661938286,0.1560094357,0,
0.1660370827,0,0.1660370827,0,0.1660368443,0,0.1660368443,-0.01692871857,0.1660368443,0,
0.1760194302,0,0.1760194302,0,0.1760191917,0,0.1760191917,-0.01620703506,0.1760191917,0,
0.1859765053,0,0.1859765053,0,0.1859762669,0,0.1859762669,-0.01868127155,0.1859762669,0,
0.1960105896,0,0.1960105896,0,0.1960105896,0,0.1960105896,-0.01703173065,0.1960105896,0,
0.2060101032,0,0.2060101032,0,0.2060098648,0,0.2060098648,-0.01672254467,0.2060098648,0,
0.216019392,0,0.216019392,0,0.216019392,0,0.216019392,-0.01661938286,0.216019392,0,
0.2260177135,0,0.2260177135,0,0.2260172367,0,0.2260172367,-0.01651637077,0.2260172367,0,
0.2360284328,0,0.2360284328,0,0.2360281944,0,0.2360281944,-0.01857810974,0.2360281944,0,
0.2460391521,0,0.2460391521,0,0.2460389137,0,0.2460389137,-0.01847509766,0.2460389137,0,
0.2560098171,0,0.2560098171,0,0.2560095787,0,0.2560095787,-0.01651637077,0.2560095787,0,
0.266014576,0,0.266014576,0,0.2660143375,0,0.2660143375,-0.01620703506,0.2660143375,0,
0.2760219574,0,0.2760219574,0,0.276021719,0,0.276021719,-0.01548535156,0.276021719,0,
0.2860422134,0,0.2860422134,0,0.2860422134,0,0.2860422134,-0.01744407845,0.2860422134,0,
0.296036005,0,0.296036005,0,0.2960357666,0,0.2960357666,-0.01857810974,0.2960357666,0,
0.306019783,0,0.306019783,0,0.3060193062,0,0.3060193062,-0.01806274986,0.3060193062,0,
0.3160197735,0,0.3160197735,0,0.3160195351,0,0.3160195351,-0.01723790455,0.3160195351,0,
0.3260354996,0,0.3260354996,0,0.3260354996,0,0.3260354996,-0.01600086117,0.3260354996,0,
0.3360366821,0,0.3360366821,0,0.3360364437,0,0.3360364437,-0.01600086117,0.3360364437,0,
0.3460402489,0,0.3460402489,0,0.3460400105,0,0.3460400105,-0.01744407845,0.3460400105,0,
0.3560361862,0,0.3560361862,0,0.3560361862,0,0.3560361862,-0.01826892376,0.3560361862,0,
0.3660359383,0,0.3660359383,0,0.3660356998,0,0.3660356998,-0.01878428364,0.3660356998,0,
0.3760194778,0,0.3760194778,0,0.3760192394,0,0.3760192394,-0.01631019688,0.3760192394,0,
0.3860201836,0,0.3860201836,0,0.3860199451,0,0.3860199451,-0.01610402298,0.3860199451,0,
0.3960356712,0,0.3960356712,0,0.3960356712,0,0.3960356712,-0.01631019688,0.3960356712,0,
0.4060130119,0,0.4060130119,0,0.4060125351,0,0.4060125351,-0.01775341415,0.4060125351,0,
0.4160401821,0,0.4160401821,0,0.4160399437,0,0.4160399437,-0.01795958805,0.4160399437,0,
