"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1237268448,0,0.1237268448,0,0.1237266064,0,0.1237266064,0.001833704948,0.1237266064,0,
0.1337275505,0,0.1337275505,0,0.1337275505,0,0.1337275505,0.004307941437,0.1337275505,0,
0.1437239647,0,0.1437239647,0,0.1437237263,0,0.1437237263,0.002143040657,0.1437237263,0,
0.153730154,0,0.153730154,0,0.153730154,0,0.153730154,0.002658550262,0.153730154,0,
0.1637246609,0,0.1637246609,0,0.163724184,0,0.163724184,0.001833704948,0.163724184,0,
0.1737263203,0,0.1737263203,0,0.1737260818,0,0.1737260818,0.003173910141,0.1737260818,0,
0.1837193966,0,0.1837193966,0,0.1837191582,0,0.1837191582,0.002246052742,0.1837191582,0,
0.1937170029,0,0.1937170029,0,0.1937170029,0,0.1937170029,0.004307941437,0.1937170029,0,
0.2037456036,0,0.2037456036,0,0.2037448883,0,0.2037448883,0.001627531052,0.2037448883,0,
0.2137420177,0,0.2137420177,0,0.2137417793,0,0.2137417793,0.002658550262,0.2137417793,0,
0.2237420082,0,0.2237420082,0,0.2237420082,0,0.2237420082,0.003586257935,0.2237420082,0,
0.2337460518,0,0.2337460518,0,0.2337458134,0,0.2337458134,0.003586257935,0.2337458134,0,
0.2437393665,0,0.2437393665,0,0.2437391281,0,0.2437391281,0.003792431831,0.2437391281,0,
0.253739357,0,0.253739357,0,0.2537391186,0,0.2537391186,0.003070898056,0.2537391186,0,
0.2637276649,0,0.2637276649,0,0.2637274265,0,0.2637274265,0.002349214554,0.2637274265,0,
0.2737145424,0,0.2737145424,0,0.273714304,0,0.273714304,0.002246052742,0.273714304,0,
0.2837407589,0,0.2837407589,0,0.2837405205,0,0.2837405205,0.004204779625,0.2837405205,0,
0.2937114239,0,0.2937114239,0,0.2937111855,0,0.2937111855,0.003586257935,0.2937111855,0,
0.3037445545,0,0.3037445545,0,0.3037445545,0,0.3037445545,0.002658550262,0.3037445545,0,
