"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.121970892,0,0.121970892,0,0.1219706535,0,0.1219706535,-0.01311427689,0.1219706535,0,
0.1319849491,0,0.1319849491,0,0.1319849491,0,0.1319849491,-0.01115569973,0.1319849491,0,
0.141988039,0,0.141988039,0,0.1419878006,0,0.1419878006,-0.01156804752,0.1419878006,0,
0.1519813538,0,0.1519813538,0,0.1519811153,0,0.1519811153,-0.01125871181,0.1519811153,0,
0.1619856358,0,0.1619856358,0,0.1619856358,0,0.1619856358,-0.01290810299,0.1619856358,0,
0.1719841957,0,0.1719841957,0,0.1719837189,0,0.1719837189,-0.01177422142,0.1719837189,0,
0.1820039749,0,0.1820039749,0,0.1820037365,0,0.1820037365,-0.01198039532,0.1820037365,0,
0.1919829845,0,0.1919829845,0,0.1919827461,0,0.1919827461,-0.01177422142,0.1919827461,0,
0.2019824982,0,0.2019824982,0,0.2019822598,0,0.2019822598,-0.01105253792,0.2019822598,0,
0.2119734287,0,0.2119734287,0,0.2119729519,0,0.2119729519,-0.01177422142,0.2119729519,0,
0.2219836712,0,0.2219836712,0,0.2219834328,0,0.2219834328,-0.01146488571,0.2219834328,0,
0.2319841385,0,0.2319841385,0,0.2319836617,0,0.2319836617,-0.01156804752,0.2319836617,0,
0.2419760227,0,0.2419760227,0,0.2419757843,0,0.2419757843,-0.01125871181,0.2419757843,0,
0.2519819736,0,0.2519819736,0,0.2519814968,0,0.2519814968,-0.01136187363,0.2519814968,0,
0.2619998455,0,0.2619998455,0,0.2619996071,0,0.2619996071,-0.01074320221,0.2619996071,0,
0.2719810009,0,0.2719810009,0,0.2719810009,0,0.2719810009,-0.01187723351,0.2719810009,0,
0.2819726467,0,0.2819726467,0,0.2819721699,0,0.2819721699,-0.01270192909,0.2819721699,0,
0.2919871807,0,0.2919871807,0,0.2919867039,0,0.2919867039,-0.01156804752,0.2919867039,0,
0.3019692898,0,0.3019692898,0,0.3019690514,0,0.3019690514,-0.01074320221,0.3019690514,0,
0.3119697571,0,0.3119697571,0,0.3119697571,0,0.3119697571,-0.01177422142,0.3119697571,0,
0.3219804764,0,0.3219804764,0,0.3219804764,0,0.3219804764,-0.01064019012,0.3219804764,0,
0.3319694996,0,0.3319694996,0,0.3319692612,0,0.3319692612,-0.01136187363,0.3319692612,0,
0.3419687748,0,0.3419687748,0,0.3419685364,0,0.3419685364,-0.01198039532,0.3419685364,0,
0.35196805,0,0.35196805,0,0.3519678116,0,0.3519678116,-0.01177422142,0.3519678116,0,
0.3620066643,0,0.3620066643,0,0.3620064259,0,0.3620064259,-0.01084636402,0.3620064259,0,
0.3719687462,0,0.3719687462,0,0.3719687462,0,0.3719687462,-0.01177422142,0.3719687462,0,
0.3819680214,0,0.3819680214,0,0.3819680214,0,0.3819680214,-0.01094937611,0.3819680214,0,
0.3919706345,0,0.3919706345,0,0.391970396,0,0.391970396,-0.01125871181,0.391970396,0,
0.4019720554,0,0.4019720554,0,0.401971817,0,0.401971817,-0.01136187363,0.401971817,0,
0.4119954109,0,0.4119954109,0,0.4119954109,0,0.4119954109,-0.01177422142,0.4119954109,0,
0.421980381,0,0.421980381,0,0.421980381,0,0.421980381,-0.01012468052,0.421980381,0,
0.4319801331,0,0.4319801331,0,0.4319798946,0,0.4319798946,-0.0120834074,0.4319798946,0,
0.4419698715,0,0.4419698715,0,0.4419696331,0,0.4419696331,-0.01064019012,0.4419696331,0,
0.4519689083,0,0.4519689083,0,0.4519689083,0,0.4519689083,-0.01115569973,0.4519689083,0,
