"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1236746311,0,0.1236746311,0,0.1236743927,0,0.1236743927,0.001112171173,0.1236743927,0,
0.1336760521,0,0.1336760521,0,0.1336758137,0,0.1336758137,8.130168915e-05,0.1336758137,0,
0.143674612,0,0.143674612,0,0.1436743736,0,0.1436743736,-0.001568239212,0.1436743736,0,
0.1536691189,0,0.1536691189,0,0.1536688805,0,0.1536688805,-0.0008465557098,0.1536688805,0,
0.1636962891,0,0.1636962891,0,0.1636960506,0,0.1636960506,-0.001980587006,0.1636960506,0,
0.1736676693,0,0.1736676693,0,0.1736674309,0,0.1736674309,-0.001052729607,0.1736674309,0,
0.1836733818,0,0.1836733818,0,0.1836731434,0,0.1836731434,-0.001671251297,0.1836731434,0,
0.1936728954,0,0.1936728954,0,0.193672657,0,0.193672657,-0.0003311958313,0.193672657,0,
0.2036812305,0,0.2036812305,0,0.2036809921,0,0.2036809921,0.0001843137741,0.2036809921,0,
0.2136962414,0,0.2136962414,0,0.213696003,0,0.213696003,-0.001052729607,0.213696003,0,
0.2236759663,0,0.2236759663,0,0.2236754894,0,0.2236754894,-0.001671251297,0.2236754894,0,
0.2336735725,0,0.2336735725,0,0.2336733341,0,0.2336733341,-0.0008465557098,0.2336733341,0,
0.2436833382,0,0.2436833382,0,0.2436830997,0,0.2436830997,0.001730692863,0.2436830997,0,
0.253672123,0,0.253672123,0,0.2536718845,0,0.2536718845,-0.0007435436249,0.2536718845,0,
0.2636711597,0,0.2636711597,0,0.2636709213,0,0.2636709213,-0.0004342079163,0.2636709213,0,
0.273671627,0,0.273671627,0,0.2736713886,0,0.2736713886,-0.001052729607,0.2736713886,0,
0.2836546898,0,0.2836546898,0,0.2836544514,0,0.2836544514,-0.001052729607,0.2836544514,0,
0.2936959267,0,0.2936959267,0,0.2936959267,0,0.2936959267,8.130168915e-05,0.2936959267,0,
0.3036830425,0,0.3036830425,0,0.3036828041,0,0.3036828041,0.0005966615677,0.3036828041,0,
0.3136982918,0,0.3136982918,0,0.3136980534,0,0.3136980534,-0.0009497175217,0.3136980534,0,
