"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1233575344,0,0.1233575344,0,0.123357296,0,0.123357296,-0.000640381813,0.123357296,0,
0.1333482265,0,0.1333482265,0,0.1333479881,0,0.1333479881,-0.00301145649,0.1333479881,0,
0.143348217,0,0.143348217,0,0.1433479786,0,0.1433479786,-0.002496096611,0.1433479786,0,
0.1533215046,0,0.1533215046,0,0.1533212662,0,0.1533212662,-0.004042325974,0.1533212662,0,
0.1633622646,0,0.1633622646,0,0.1633620262,0,0.1633620262,-0.001877425194,0.1633620262,0,
0.1733622551,0,0.1733622551,0,0.1733620167,0,0.1733620167,-0.002908444405,0.1733620167,0,
0.1833581924,0,0.1833581924,0,0.1833581924,0,0.1833581924,-0.001774413109,0.1833581924,0,
0.1933553219,0,0.1933553219,0,0.1933550835,0,0.1933550835,-0.002083599091,0.1933550835,0,
0.2036406994,0,0.2036406994,0,0.203640461,0,0.203640461,-0.002599108696,0.203640461,0,
0.2133598328,0,0.2133598328,0,0.2133593559,0,0.2133593559,-0.004042325974,0.2133593559,0,
0.2233784199,0,0.2233784199,0,0.2233781815,0,0.2233781815,-0.001568239212,0.2233781815,0,
0.2333726883,0,0.2333726883,0,0.2333724499,0,0.2333724499,-0.001774413109,0.2333724499,0,
0.2433538437,0,0.2433538437,0,0.2433536053,0,0.2433536053,-0.002392934799,0.2433536053,0,
0.2533495426,0,0.2533495426,0,0.2533493042,0,0.2533493042,-0.00362997818,0.2533493042,0,
0.2633466721,0,0.2633466721,0,0.2633466721,0,0.2633466721,-0.003320792198,0.2633466721,0,
0.273345232,0,0.273345232,0,0.2733449936,0,0.2733449936,-0.003939313889,0.2733449936,0,
0.2833611965,0,0.2833611965,0,0.2833611965,0,0.2833611965,-0.003526966095,0.2833611965,0,
0.293356657,0,0.293356657,0,0.293356657,0,0.293356657,-0.002186760902,0.293356657,0,
0.3033576012,0,0.3033576012,0,0.3033573627,0,0.3033573627,-0.002702270508,0.3033573627,0,
0.3133757114,0,0.3133757114,0,0.313375473,0,0.313375473,-0.00301145649,0.313375473,0,
0.3233828545,0,0.3233828545,0,0.323382616,0,0.323382616,-0.004145487785,0.323382616,0,
0.3333723545,0,0.3333723545,0,0.3333723545,0,0.3333723545,-0.00362997818,0.3333723545,0,
0.3433933258,0,0.3433933258,0,0.3433930874,0,0.3433930874,-0.002186760902,0.3433930874,0,
0.3533785343,0,0.3533785343,0,0.3533782959,0,0.3533782959,-0.002186760902,0.3533782959,0,
0.3633806705,0,0.3633806705,0,0.3633806705,0,0.3633806705,-0.002392934799,0.3633806705,0,
0.3733541965,0,0.3733541965,0,0.3733539581,0,0.3733539581,-0.003423804283,0.3733539581,0,
0.3833796978,0,0.3833796978,0,0.3833794594,0,0.3833794594,-0.002496096611,0.3833794594,0,
0.393378973,0,0.393378973,0,0.3933787346,0,0.3933787346,-0.002289922714,0.3933787346,0,
0.4033596516,0,0.4033596516,0,0.4033596516,0,0.4033596516,-0.002289922714,0.4033596516,0,
0.4133768082,0,0.4133768082,0,0.4133765697,0,0.4133765697,-0.002599108696,0.4133765697,0,
0.4233586788,0,0.4233586788,0,0.4233584404,0,0.4233584404,-0.003836152077,0.4233584404,0,
0.4333734512,0,0.4333734512,0,0.4333734512,0,0.4333734512,-0.003423804283,0.4333734512,0,
0.4433820248,0,0.4433820248,0,0.4433817863,0,0.4433817863,-0.002805282593,0.4433817863,0,
0.4533741474,0,0.4533741474,0,0.453373909,0,0.453373909,-0.002289922714,0.453373909,0,
0.4633789062,0,0.4633789062,0,0.4633789062,0,0.4633789062,-0.001155891418,0.4633789062,0,
