"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1217126846,0,0.1217126846,0,0.1217126846,0,0.1217126846,-0.003114618301,0.1217126846,0,
0.1317222118,0,0.1317222118,0,0.1317219734,0,0.1317219734,-0.004145487785,0.1317219734,0,
0.1417281628,0,0.1417281628,0,0.1417279243,0,0.1417279243,-0.00301145649,0.1417279243,0,
0.151720047,0,0.151720047,0,0.1517198086,0,0.1517198086,-0.006001052856,0.1517198086,0,
0.161724329,0,0.161724329,0,0.1617240906,0,0.1617240906,-0.00301145649,0.1617240906,0,
0.1717238426,0,0.1717238426,0,0.1717238426,0,0.1717238426,-0.004764009476,0.1717238426,0,
0.1817419529,0,0.1817419529,0,0.1817417145,0,0.1817417145,-0.003526966095,0.1817417145,0,
0.1917171478,0,0.1917171478,0,0.191716671,0,0.191716671,-0.005588705063,0.191716671,0,
0.2017240524,0,0.2017240524,0,0.2017240524,0,0.2017240524,-0.003836152077,0.2017240524,0,
0.2117373943,0,0.2117373943,0,0.2117371559,0,0.2117371559,-0.002702270508,0.2117371559,0,
0.221711874,0,0.221711874,0,0.221711874,0,0.221711874,-0.004557835579,0.221711874,0,
0.2317404747,0,0.2317404747,0,0.2317402363,0,0.2317402363,-0.003114618301,0.2317402363,0,
0.2417397499,0,0.2417397499,0,0.2417397499,0,0.2417397499,-0.005279519081,0.2417397499,0,
0.2517383099,0,0.2517383099,0,0.2517380714,0,0.2517380714,-0.003423804283,0.2517380714,0,
0.261739254,0,0.261739254,0,0.2617390156,0,0.2617390156,-0.004454823494,0.2617390156,0,
0.2717130184,0,0.2717130184,0,0.27171278,0,0.27171278,-0.003114618301,0.27171278,0,
0.281712532,0,0.281712532,0,0.2817122936,0,0.2817122936,-0.00424849987,0.2817122936,0,
0.2917385101,0,0.2917385101,0,0.2917382717,0,0.2917382717,-0.00424849987,0.2917382717,0,
0.3017246723,0,0.3017246723,0,0.3017244339,0,0.3017244339,-0.003526966095,0.3017244339,0,
0.3117241859,0,0.3117241859,0,0.3117239475,0,0.3117239475,-0.004042325974,0.3117239475,0,
0.3217122555,0,0.3217122555,0,0.3217122555,0,0.3217122555,-0.004145487785,0.3217122555,0,
0.3317403793,0,0.3317403793,0,0.3317401409,0,0.3317401409,-0.00362997818,0.3317401409,0,
0.3417260647,0,0.3417260647,0,0.3417258263,0,0.3417258263,-0.002805282593,0.3417258263,0,
0.351744175,0,0.351744175,0,0.351744175,0,0.351744175,-0.00362997818,0.351744175,0,
0.3617386818,0,0.3617386818,0,0.3617384434,0,0.3617384434,-0.003526966095,0.3617384434,0,
0.3717188835,0,0.3717188835,0,0.3717186451,0,0.3717186451,-0.004042325974,0.3717186451,0,
0.3817398548,0,0.3817398548,0,0.3817396164,0,0.3817396164,-0.003114618301,0.3817396164,0,
0.3917405605,0,0.3917405605,0,0.3917403221,0,0.3917403221,-0.004557835579,0.3917403221,0,
0.4017429352,0,0.4017429352,0,0.4017426968,0,0.4017426968,-0.002805282593,0.4017426968,0,
0.4117245674,0,0.4117245674,0,0.4117245674,0,0.4117245674,-0.003836152077,0.4117245674,0,
0.4217395782,0,0.4217395782,0,0.4217393398,0,0.4217393398,-0.002186760902,0.4217393398,0,
0.4317412376,0,0.4317412376,0,0.4317412376,0,0.4317412376,-0.003217630386,0.4317412376,0,
0.4417221546,0,0.4417221546,0,0.4417221546,0,0.4417221546,-0.00362997818,0.4417221546,0,
0.4517376423,0,0.4517376423,0,0.4517374039,0,0.4517374039,-0.002289922714,0.4517374039,0,
0.461742878,0,0.461742878,0,0.461742878,0,0.461742878,-0.004660997391,0.461742878,0,
0.4717166424,0,0.4717166424,0,0.471716404,0,0.471716404,-0.002392934799,0.471716404,0,
0.4817361832,0,0.4817361832,0,0.4817361832,0,0.4817361832,-0.004454823494,0.4817361832,0,
0.4917387962,0,0.4917387962,0,0.4917385578,0,0.4917385578,-0.002083599091,0.4917385578,0,
0.5017428398,0,0.5017428398,0,0.5017428398,0,0.5017428398,-0.004867171288,0.5017428398,0,
