"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1310889721,0,0.1310889721,0,0.1310887337,0,0.1310887337,-0.01074320221,0.1310887337,0,
0.1410901546,0,0.1410901546,0,0.1410899162,0,0.1410899162,-0.01053702831,0.1410899162,0,
0.1510887146,0,0.1510887146,0,0.1510884762,0,0.1510884762,-0.009918506622,0.1510884762,0,
0.1610879898,0,0.1610879898,0,0.1610877514,0,0.1610877514,-0.0120834074,0.1610877514,0,
0.1710824966,0,0.1710824966,0,0.1710822582,0,0.1710822582,-0.01115569973,0.1710822582,0,
0.1811139584,0,0.1811139584,0,0.1811139584,0,0.1811139584,-0.01022784233,0.1811139584,0,
0.1911122799,0,0.1911122799,0,0.1911120415,0,0.1911120415,-0.01115569973,0.1911120415,0,
0.2010815144,0,0.2010815144,0,0.2010812759,0,0.2010812759,-0.01094937611,0.2010812759,0,
0.2111124992,0,0.2111124992,0,0.2111122608,0,0.2111122608,-0.01002166843,0.2111122608,0,
0.2211155891,0,0.2211155891,0,0.2211153507,0,0.2211153507,-0.009299984932,0.2211153507,0,
0.2310857773,0,0.2310857773,0,0.2310855389,0,0.2310855389,-0.01074320221,0.2310855389,0,
0.2410869598,0,0.2410869598,0,0.2410867214,0,0.2410867214,-0.01094937611,0.2410867214,0,
0.2511005402,0,0.2511005402,0,0.2511005402,0,0.2511005402,-0.009918506622,0.2511005402,0,
0.2610821724,0,0.2610821724,0,0.2610821724,0,0.2610821724,-0.008681463242,0.2610821724,0,
0.2710840702,0,0.2710840702,0,0.2710840702,0,0.2710840702,-0.01094937611,0.2710840702,0,
0.2810916901,0,0.2810916901,0,0.2810914516,0,0.2810914516,-0.01012468052,0.2810914516,0,
0.2910892963,0,0.2910892963,0,0.2910892963,0,0.2910892963,-0.00857830143,0.2910892963,0,
0.3010857105,0,0.3010857105,0,0.3010854721,0,0.3010854721,-0.01115569973,0.3010854721,0,
0.3111276627,0,0.3111276627,0,0.3111274242,0,0.3111274242,-0.01136187363,0.3111274242,0,
0.3210833073,0,0.3210833073,0,0.3210830688,0,0.3210830688,-0.01043401623,0.3210830688,0,
0.3310923576,0,0.3310923576,0,0.3310921192,0,0.3310921192,-0.009609320641,0.3310921192,0,
0.3410921097,0,0.3410921097,0,0.3410918713,0,0.3410918713,-0.01198039532,0.3410918713,0,
0.3510980606,0,0.3510980606,0,0.3510978222,0,0.3510978222,-0.01033085442,0.3510978222,0,
0.3610925674,0,0.3610925674,0,0.361092329,0,0.361092329,-0.01074320221,0.361092329,0,
0.3720610142,0,0.3720610142,0,0.3720607758,0,0.3720607758,-0.01053702831,0.3720607758,0,
0.3811094761,0,0.3811094761,0,0.3811089993,0,0.3811089993,-0.01043401623,0.3811089993,0,
0.3920984268,0,0.3920984268,0,0.3920981884,0,0.3920981884,-0.009609320641,0.3920981884,0,
0.4011080265,0,0.4011080265,0,0.4011080265,0,0.4011080265,-0.0124957552,0.4011080265,0,
0.4110841751,0,0.4110841751,0,0.4110839367,0,0.4110839367,-0.01053702831,0.4110839367,0,
0.421084404,0,0.421084404,0,0.421084404,0,0.421084404,-0.01074320221,0.421084404,0,
0.4311010838,0,0.4311010838,0,0.4311008453,0,0.4311008453,-0.01146488571,0.4311008453,0,
0.441100359,0,0.441100359,0,0.4411001205,0,0.4411001205,-0.01218656921,0.4411001205,0,
0.4511024952,0,0.4511024952,0,0.4511024952,0,0.4511024952,-0.009712332726,0.4511024952,0,
0.461104393,0,0.461104393,0,0.461104393,0,0.461104393,-0.01002166843,0.461104393,0,
0.4711034298,0,0.4711034298,0,0.4711031914,0,0.4711031914,-0.01094937611,0.4711031914,0,
0.4810845852,0,0.4810845852,0,0.4810843468,0,0.4810843468,-0.01094937611,0.4810843468,0,
0.4910984039,0,0.4910984039,0,0.4910981655,0,0.4910981655,-0.01105253792,0.4910981655,0,
0.5011100769,0,0.5011100769,0,0.5011098385,0,0.5011098385,-0.009609320641,0.5011098385,0,
0.5110809803,0,0.5110809803,0,0.5110807419,0,0.5110807419,-0.01053702831,0.5110807419,0,
0.5211055279,0,0.5211055279,0,0.5211055279,0,0.5211055279,-0.01043401623,0.5211055279,0,
0.5311009884,0,0.5311009884,0,0.5311009884,0,0.5311009884,-0.01074320221,0.5311009884,0,
0.5411074162,0,0.5411074162,0,0.5411074162,0,0.5411074162,-0.008887637138,0.5411074162,0,
0.55108428,0,0.55108428,0,0.5510838032,0,0.5510838032,-0.009506158829,0.5510838032,0,
0.5610854626,0,0.5610854626,0,0.5610852242,0,0.5610852242,-0.01053702831,0.5610852242,0,
0.5710859299,0,0.5710859299,0,0.5710856915,0,0.5710856915,-0.01084636402,0.5710856915,0,
0.5810885429,0,0.5810885429,0,0.5810883045,0,0.5810883045,-0.01012468052,0.5810883045,0,
0.5910904408,0,0.5910904408,0,0.5910904408,0,0.5910904408,-0.009506158829,0.5910904408,0,
0.6011173725,0,0.6011173725,0,0.6011173725,0,0.6011173725,-0.01125871181,0.6011173725,0,
