"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1251630783,0,0.1251630783,0,0.1251628399,0,0.1251628399,-0.01971214104,0.1251628399,0,
0.1351737976,0,0.1351737976,0,0.1351735592,0,0.1351735592,-0.02063999844,0.1351735592,0,
0.1451735497,0,0.1451735497,0,0.1451733112,0,0.1451733112,-0.02053683662,0.1451733112,0,
0.1551604271,0,0.1551604271,0,0.1551604271,0,0.1551604271,-0.02022765064,0.1551604271,0,
0.1651756763,0,0.1651756763,0,0.1651756763,0,0.1651756763,-0.01971214104,0.1651756763,0,
0.1751747131,0,0.1751747131,0,0.1751744747,0,0.1751744747,-0.01878428364,0.1751744747,0,
0.1851892471,0,0.1851892471,0,0.1851892471,0,0.1851892471,-0.01971214104,0.1851892471,0,
0.1951870918,0,0.1951870918,0,0.1951868534,0,0.1951868534,-0.01899045753,0.1951868534,0,
0.205188036,0,0.205188036,0,0.2051877975,0,0.2051877975,-0.02002147675,0.2051877975,0,
0.215187788,0,0.215187788,0,0.215187788,0,0.215187788,-0.01888744545,0.215187788,0,
0.2251722813,0,0.2251722813,0,0.2251722813,0,0.2251722813,-0.01888744545,0.2251722813,0,
0.2351739407,0,0.2351739407,0,0.2351737022,0,0.2351737022,-0.01960897923,0.2351737022,0,
0.2451860905,0,0.2451860905,0,0.2451860905,0,0.2451860905,-0.01795958805,0.2451860905,0,
0.2551879883,0,0.2551879883,0,0.2551879883,0,0.2551879883,-0.01991831493,0.2551879883,0,
0.2651875019,0,0.2651875019,0,0.2651875019,0,0.2651875019,-0.01857810974,0.2651875019,0,
0.2751722336,0,0.2751722336,0,0.2751722336,0,0.2751722336,-0.01878428364,0.2751722336,0,
0.2851860523,0,0.2851860523,0,0.2851858139,0,0.2851858139,-0.01971214104,0.2851858139,0,
0.2951645851,0,0.2951645851,0,0.2951643467,0,0.2951643467,-0.01888744545,0.2951643467,0,
0.3051583767,0,0.3051583767,0,0.3051581383,0,0.3051581383,-0.02053683662,0.3051581383,0,
0.3151574135,0,0.3151574135,0,0.3151571751,0,0.3151571751,-0.02043382454,0.3151571751,0,
0.3251566887,0,0.3251566887,0,0.3251564503,0,0.3251564503,-0.01940280533,0.3251564503,0,
0.335133791,0,0.335133791,0,0.335133791,0,0.335133791,-0.02012448883,0.335133791,0,
