"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1277267933,0.785,0.1277267933,-0.01623845035,0.1277265549,0,0.1277265549,-0.02414495468,0.1277265549,0,
0.1377248764,0.785,0.1377248764,-0.01623845035,0.137724638,0,0.137724638,-0.02527898598,0.137724638,0,
0.1477115154,0.785,0.1477115154,-0.01623845035,0.147711277,0,0.147711277,-0.02527898598,0.147711277,0,
0.1577138901,0.785,0.1577138901,-0.01623845035,0.1577136517,0,0.1577136517,-0.02641301727,0.1577136517,0,
0.1677136421,0.785,0.1677136421,-0.01623845035,0.1677134037,0,0.1677134037,-0.02703153896,0.1677134037,0,
0.1777141094,0.785,0.1777141094,-0.01623845035,0.1777141094,0,0.1777141094,-0.02600066948,0.1777141094,0,
0.1877126694,0.785,0.1877126694,-0.01623845035,0.187712431,0,0.187712431,-0.02527898598,0.187712431,0,
0.1977133751,0.785,0.1977133751,-0.01623845035,0.1977131367,0,0.1977131367,-0.0231140852,0.1977131367,0,
0.2077465057,0.785,0.2077465057,-0.01623845035,0.2077462673,0,0.2077462673,-0.02352643299,0.2077462673,0,
0.2177453041,0.785,0.2177453041,-0.01623845035,0.2177450657,0,0.2177450657,-0.02466046429,0.2177450657,0,
0.2277200222,0.785,0.2277200222,-0.01623845035,0.2277200222,0,0.2277200222,-0.02445429039,0.2277200222,0,
0.2377405167,0.785,0.2377405167,-0.01623845035,0.2377405167,0,0.2377405167,-0.02661919117,0.2377405167,0,
0.2477381229,0.785,0.2477381229,-0.01623845035,0.2477381229,0,0.2477381229,-0.02630985546,0.2477381229,0,
0.2577381134,0.785,0.2577381134,-0.01623845035,0.2577381134,0,0.2577381134,-0.0249698,0.2577381134,0,
0.2677395344,0.785,0.2677395344,-0.01623845035,0.2677395344,0,0.2677395344,-0.02414495468,0.2677395344,0,
0.2777147293,0.785,0.2777147293,-0.01623845035,0.2777147293,0,0.2777147293,-0.02507281208,0.2777147293,0,
0.2877454758,0.785,0.2877454758,-0.01623845035,0.2877452374,0,0.2877452374,-0.02321724701,0.2877452374,0,
0.297740221,0.785,0.297740221,-0.01623845035,0.2977399826,0,0.2977399826,-0.02558832169,0.2977399826,0,
0.307738781,0.785,0.307738781,-0.01623845035,0.307738781,0,0.307738781,-0.02600066948,0.307738781,0,
0.3177423477,0.785,0.3177423477,-0.01623845035,0.3177421093,0,0.3177421093,-0.02651602936,0.3177421093,0,
0.3277409077,0.785,0.3277409077,-0.01623845035,0.3277406693,0,0.3277406693,-0.02558832169,0.3277406693,0,
0.3377399445,0.785,0.3377399445,-0.01623845035,0.3377399445,0,0.3377399445,-0.02486663818,0.3377399445,0,
0.3477253914,0.785,0.3477253914,-0.01623845035,0.347725153,0,0.347725153,-0.02393878078,0.347725153,0,
0.3577423096,0.785,0.3577423096,-0.01623845035,0.3577423096,0,0.3577423096,-0.02393878078,0.3577423096,0,
0.3677287102,0.785,0.3677287102,-0.01623845035,0.3677284718,0,0.3677284718,-0.02424811649,0.3677284718,0,
0.3777148724,0.785,0.3777148724,-0.01623845035,0.3777146339,0,0.3777146339,-0.02507281208,0.3777146339,0,
0.3877282143,0.785,0.3877282143,-0.01623845035,0.3877279758,0,0.3877279758,-0.02692852688,0.3877279758,0,
0.3977408409,0.785,0.3977408409,-0.01623845035,0.3977406025,0,0.3977406025,-0.02630985546,0.3977406025,0,
0.4077172279,0.785,0.4077172279,-0.01623845035,0.4077167511,0,0.4077167511,-0.02600066948,0.4077167511,0,
0.4177417755,0.785,0.4177417755,-0.01623845035,0.4177415371,0,0.4177415371,-0.02527898598,0.4177415371,0,
0.4277408123,0.785,0.4277408123,-0.01623845035,0.4277405739,0,0.4277405739,-0.02466046429,0.4277405739,0,
0.4377400875,0.785,0.4377400875,-0.01623845035,0.4377398491,0,0.4377398491,-0.0249698,0.4377398491,0,
0.4477176666,0.785,0.4477176666,-0.01623845035,0.4477171898,0,0.4477171898,-0.02558832169,0.4477171898,0,
0.4577150345,0.785,0.4577150345,-0.01623845035,0.4577147961,0,0.4577147961,-0.02486663818,0.4577147961,0,
0.4677276611,0.785,0.4677276611,-0.01623845035,0.4677274227,0,0.4677274227,-0.02641301727,0.4677274227,0,
