"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1246988773,0,0.1246988773,0,0.1246986389,0,0.1246986389,0.003380084038,0.1246986389,0,
0.1346879005,0,0.1346879005,0,0.1346876621,0,0.1346876621,0.002658550262,0.1346876621,0,
0.1446967125,0,0.1446967125,0,0.1446964741,0,0.1446964741,0.002555388451,0.1446964741,0,
0.1546978951,0,0.1546978951,0,0.1546978951,0,0.1546978951,0.004823451042,0.1546978951,0,
0.1647014618,0,0.1647014618,0,0.1647012234,0,0.1647012234,0.002967736244,0.1647012234,0,
0.1746866703,0,0.1746866703,0,0.1746864319,0,0.1746864319,0.002864724159,0.1746864319,0,
0.1847164631,0,0.1847164631,0,0.1847162247,0,0.1847162247,0.00193686676,0.1847162247,0,
0.1946971416,0,0.1946971416,0,0.1946969032,0,0.1946969032,0.002246052742,0.1946969032,0,
0.2046923637,0,0.2046923637,0,0.2046923637,0,0.2046923637,0.003895593643,0.2046923637,0,
0.2146947384,0,0.2146947384,0,0.2146940231,0,0.2146940231,0.003277071953,0.2146940231,0,
0.2247023582,0,0.2247023582,0,0.2247021198,0,0.2247021198,0.003895593643,0.2247021198,0,
0.2347147465,0,0.2347147465,0,0.2347145081,0,0.2347145081,0.003792431831,0.2347145081,0,
0.2446973324,0,0.2446973324,0,0.2446973324,0,0.2446973324,0.002452376366,0.2446973324,0,
0.2547135353,0,0.2547135353,0,0.2547132969,0,0.2547132969,0.002349214554,0.2547132969,0,
0.2647130489,0,0.2647130489,0,0.2647130489,0,0.2647130489,0.002761562347,0.2647130489,0,
0.2747092247,0,0.2747092247,0,0.2747089863,0,0.2747089863,0.00193686676,0.2747089863,0,
0.2847082615,0,0.2847082615,0,0.2847080231,0,0.2847080231,0.003998605728,0.2847080231,0,
0.2947053909,0,0.2947053909,0,0.2947053909,0,0.2947053909,0.003689419746,0.2947053909,0,
0.3047106266,0,0.3047106266,0,0.3047103882,0,0.3047103882,0.00348324585,0.3047103882,0,
0.3146965504,0,0.3146965504,0,0.314696312,0,0.314696312,0.001833704948,0.314696312,0,
0.324706316,0,0.324706316,0,0.3247060776,0,0.3247060776,0.002039878845,0.3247060776,0,
0.3346860409,0,0.3346860409,0,0.3346860409,0,0.3346860409,0.003070898056,0.3346860409,0,
0.344689846,0,0.344689846,0,0.3446896076,0,0.3446896076,0.00348324585,0.3446896076,0,
0.3547170162,0,0.3547170162,0,0.3547167778,0,0.3547167778,0.00348324585,0.3547167778,0,
0.3647153378,0,0.3647153378,0,0.3647153378,0,0.3647153378,0.003895593643,0.3647153378,0,
0.3746979237,0,0.3746979237,0,0.3746979237,0,0.3746979237,0.003586257935,0.3746979237,0,
0.3847162724,0,0.3847162724,0,0.3847160339,0,0.3847160339,0.002658550262,0.3847160339,0,
0.3947148323,0,0.3947148323,0,0.3947148323,0,0.3947148323,0.002246052742,0.3947148323,0,
0.4047017097,0,0.4047017097,0,0.4047017097,0,0.4047017097,0.002039878845,0.4047017097,0,
0.414712429,0,0.414712429,0,0.414712429,0,0.414712429,0.003380084038,0.414712429,0,
0.4247174263,0,0.4247174263,0,0.4247171879,0,0.4247171879,0.00410176754,0.4247171879,0,
0.4347126484,0,0.4347126484,0,0.43471241,0,0.43471241,0.002864724159,0.43471241,0,
0.4446964264,0,0.4446964264,0,0.4446964264,0,0.4446964264,0.003277071953,0.4446964264,0,
0.4547138214,0,0.4547138214,0,0.4547138214,0,0.4547138214,0.00193686676,0.4547138214,0,
0.4647181034,0,0.4647181034,0,0.4647181034,0,0.4647181034,0.002349214554,0.4647181034,0,
0.4746947289,0,0.4746947289,0,0.4746944904,0,0.4746944904,0.003998605728,0.4746944904,0,
0.4847149849,0,0.4847149849,0,0.4847147465,0,0.4847147465,0.003380084038,0.4847147465,0,
0.4947137833,0,0.4947137833,0,0.4947135448,0,0.4947135448,0.002349214554,0.4947135448,0,
0.5047171116,0,0.5047171116,0,0.5047168732,0,0.5047168732,0.003689419746,0.5047168732,0,
