"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.131508112,0.785,0.131508112,-0.0002605333226,0.1315078735,0,0.1315078735,-0.004454823494,0.1315078735,0,
0.1415083408,0.785,0.1415083408,-0.0002605333226,0.1415081024,0,0.1415081024,-0.004557835579,0.1415081024,0,
0.1515061855,0.785,0.1515061855,-0.0002605333226,0.1515059471,0,0.1515059471,-0.004970183372,0.1515059471,0,
0.161501646,0.785,0.161501646,-0.0002605333226,0.1615011692,0,0.1615011692,-0.004660997391,0.1615011692,0,
0.1715097427,0.785,0.1715097427,-0.0002605333226,0.1715095043,0,0.1715095043,-0.003217630386,0.1715095043,0,
0.181524992,0.785,0.181524992,-0.0002605333226,0.181524992,0,0.181524992,-0.00424849987,0.181524992,0,
0.1915094852,0.785,0.1915094852,-0.0002605333226,0.1915094852,0,0.1915094852,-0.00362997818,0.1915094852,0,
0.2015216351,0.785,0.2015216351,-0.0002605333226,0.2015213966,0,0.2015213966,-0.005176357269,0.2015213966,0,
0.2115218639,0.785,0.2115218639,-0.0002605333226,0.2115218639,0,0.2115218639,-0.003733139992,0.2115218639,0,
0.221521616,0.785,0.221521616,-0.0002605333226,0.2215213776,0,0.2215213776,-0.004351661682,0.2215213776,0,
0.2314968109,0.785,0.2314968109,-0.0002605333226,0.2314968109,0,0.2314968109,-0.003939313889,0.2314968109,0,
0.2415041924,0.785,0.2415041924,-0.0002605333226,0.2415041924,0,0.2415041924,-0.004454823494,0.2415041924,0,
0.2515263557,0.785,0.2515263557,-0.0002605333226,0.2515263557,0,0.2515263557,-0.003423804283,0.2515263557,0,
0.2615072727,0.785,0.2615072727,-0.0002605333226,0.2615070343,0,0.2615070343,-0.002083599091,0.2615070343,0,
0.2715270519,0.785,0.2715270519,-0.0002605333226,0.2715268135,0,0.2715268135,-0.002702270508,0.2715268135,0,
0.2815039158,0.785,0.2815039158,-0.0002605333226,0.2815039158,0,0.2815039158,-0.002496096611,0.2815039158,0,
0.2915112972,0.785,0.2915112972,-0.0002605333226,0.2915110588,0,0.2915110588,-0.002496096611,0.2915110588,0,
0.3015038967,0.785,0.3015038967,-0.0002605333226,0.3015036583,0,0.3015036583,-0.002702270508,0.3015036583,0,
0.3115365505,0.785,0.3115365505,-0.0002605333226,0.3115363121,0,0.3115363121,-0.002392934799,0.3115363121,0,
0.3215208054,0.785,0.3215208054,-0.0002605333226,0.3215208054,0,0.3215208054,-0.00362997818,0.3215208054,0,
0.3315207958,0.785,0.3315207958,-0.0002605333226,0.3315205574,0,0.3315205574,-0.003423804283,0.3315205574,0,
0.3415060043,0.785,0.3415060043,-0.0002605333226,0.3415057659,0,0.3415057659,-0.004454823494,0.3415057659,0,
0.3515110016,0.785,0.3515110016,-0.0002605333226,0.3515105247,0,0.3515105247,-0.003939313889,0.3515105247,0,
0.3615248203,0.785,0.3615248203,-0.0002605333226,0.3615248203,0,0.3615248203,-0.003733139992,0.3615248203,0,
0.3715224266,0.785,0.3715224266,-0.0002605333226,0.3715221882,0,0.3715221882,-0.003939313889,0.3715221882,0,
0.3815114498,0.785,0.3815114498,-0.0002605333226,0.3815112114,0,0.3815112114,-0.003217630386,0.3815112114,0,
0.3915274143,0.785,0.3915274143,-0.0002605333226,0.3915274143,0,0.3915274143,-0.003114618301,0.3915274143,0,
0.4015090466,0.785,0.4015090466,-0.0002605333226,0.4015090466,0,0.4015090466,-0.003526966095,0.4015090466,0,
0.4115085602,0.785,0.4115085602,-0.0002605333226,0.4115083218,0,0.4115083218,-0.004351661682,0.4115083218,0,
0.4215242863,0.785,0.4215242863,-0.0002605333226,0.4215242863,0,0.4215242863,-0.004042325974,0.4215242863,0,
0.4315209389,0.785,0.4315209389,-0.0002605333226,0.4315207005,0,0.4315207005,-0.004660997391,0.4315207005,0,
0.4414961338,0.785,0.4414961338,-0.0002605333226,0.4414958954,0,0.4414958954,-0.004557835579,0.4414958954,0,
0.4515271187,0.785,0.4515271187,-0.0002605333226,0.4515271187,0,0.4515271187,-0.004145487785,0.4515271187,0,
0.461509943,0.785,0.461509943,-0.0002605333226,0.461509943,0,0.461509943,-0.004145487785,0.461509943,0,
0.4715266228,0.785,0.4715266228,-0.0002605333226,0.4715266228,0,0.4715266228,-0.005691866875,0.4715266228,0,
0.4814963341,0.785,0.4814963341,-0.0002605333226,0.4814960957,0,0.4814960957,-0.004970183372,0.4814960957,0,
0.4915263653,0.785,0.4915263653,-0.0002605333226,0.4915263653,0,0.4915263653,-0.00641340065,0.4915263653,0,
0.5015208721,0.785,0.5015208721,-0.0002605333226,0.5015206337,0,0.5015206337,-0.004454823494,0.5015206337,0,
0.5115058422,0.785,0.5115058422,-0.0002605333226,0.5115056038,0,0.5115056038,-0.004454823494,0.5115056038,0,
0.5215182304,0.785,0.5215182304,-0.0002605333226,0.521517992,0,0.521517992,-0.004351661682,0.521517992,0,
0.5315203667,0.785,0.5315203667,-0.0002605333226,0.5315203667,0,0.5315203667,-0.005073345184,0.5315203667,0,
0.5414953232,0.785,0.5414953232,-0.0002605333226,0.5414953232,0,0.5414953232,-0.004867171288,0.5414953232,0,
0.551500082,0.785,0.551500082,-0.0002605333226,0.551500082,0,0.551500082,-0.004764009476,0.551500082,0,
0.5615084171,0.785,0.5615084171,-0.0002605333226,0.5615081787,0,0.5615081787,-0.003733139992,0.5615081787,0,
0.571508646,0.785,0.571508646,-0.0002605333226,0.5715084076,0,0.5715084076,-0.003320792198,0.5715084076,0,
0.5815002918,0.785,0.5815002918,-0.0002605333226,0.5815002918,0,0.5815002918,-0.003836152077,0.5815002918,0,
0.5915515423,0.785,0.5915515423,-0.0002605333226,0.5915510654,0,0.5915510654,-0.00301145649,0.5915510654,0,
0.6015236378,0.785,0.6015236378,-0.0002605333226,0.6015233994,0,0.6015233994,-0.004660997391,0.6015233994,0,
0.611522913,0.785,0.611522913,-0.0002605333226,0.6115226746,0,0.6115226746,-0.003939313889,0.6115226746,0,
0.6214971542,0.785,0.6214971542,-0.0002605333226,0.6214966774,0,0.6214966774,-0.003320792198,0.6214966774,0,
0.631513834,0.785,0.631513834,-0.0002605333226,0.631513834,0,0.631513834,-0.003526966095,0.631513834,0,
0.6415245533,0.785,0.6415245533,-0.0002605333226,0.6415243149,0,0.6415243149,-0.003526966095,0.6415243149,0,
0.651525259,0.785,0.651525259,-0.0002605333226,0.6515247822,0,0.6515247822,-0.004145487785,0.6515247822,0,
0.6615219116,0.785,0.6615219116,-0.0002605333226,0.6615216732,0,0.6615216732,-0.003217630386,0.6615216732,0,
0.6715209484,0.785,0.6715209484,-0.0002605333226,0.6715209484,0,0.6715209484,-0.003114618301,0.6715209484,0,
0.681497097,0.785,0.681497097,-0.0002605333226,0.681497097,0,0.681497097,-0.001980587006,0.681497097,0,
0.6915256977,0.785,0.6915256977,-0.0002605333226,0.6915256977,0,0.6915256977,-0.003423804283,0.6915256977,0,
0.7015223503,0.785,0.7015223503,-0.0002605333226,0.7015223503,0,0.7015223503,-0.004145487785,0.7015223503,0,
0.7114970684,0.785,0.7114970684,-0.0002605333226,0.71149683,0,0.71149683,-0.005176357269,0.71149683,0,
0.7215228081,0.785,0.7215228081,-0.0002605333226,0.7215225697,0,0.7215225697,-0.004042325974,0.7215225697,0,
0.7314934731,0.785,0.7314934731,-0.0002605333226,0.7314934731,0,0.7314934731,-0.004867171288,0.7314934731,0,
0.7414999008,0.785,0.7414999008,-0.0002605333226,0.7414996624,0,0.7414996624,-0.003320792198,0.7414996624,0,
0.7515246868,0.785,0.7515246868,-0.0002605333226,0.7515244484,0,0.7515244484,-0.004042325974,0.7515244484,0,
0.7615218163,0.785,0.7615218163,-0.0002605333226,0.7615218163,0,0.7615218163,-0.003733139992,0.7615218163,0,
0.7715263367,0.785,0.7715263367,-0.0002605333226,0.7715260983,0,0.7715260983,-0.005691866875,0.7715260983,0,
0.7815206051,0.785,0.7815206051,-0.0002605333226,0.7815201283,0,0.7815201283,-0.004042325974,0.7815201283,0,
0.7915093899,0.785,0.7915093899,-0.0002605333226,0.7915093899,0,0.7915093899,-0.004351661682,0.7915093899,0,
0.8015224934,0.785,0.8015224934,-0.0002605333226,0.8015224934,0,0.8015224934,-0.004042325974,0.8015224934,0,
0.8115260601,0.785,0.8115260601,-0.0002605333226,0.8115258217,0,0.8115258217,-0.003320792198,0.8115258217,0,
0.8215231895,0.785,0.8215231895,-0.0002605333226,0.8215229511,0,0.8215229511,-0.003114618301,0.8215229511,0,
0.8315262794,0.785,0.8315262794,-0.0002605333226,0.831526041,0,0.831526041,-0.002599108696,0.831526041,0,
0.8414947987,0.785,0.8414947987,-0.0002605333226,0.8414945602,0,0.8414945602,-0.004351661682,0.8414945602,0,
0.8515322208,0.785,0.8515322208,-0.0002605333226,0.8515322208,0,0.8515322208,-0.002805282593,0.8515322208,0,
0.8615210056,0.785,0.8615210056,-0.0002605333226,0.8615207672,0,0.8615207672,-0.003733139992,0.8615207672,0,
0.8715219498,0.785,0.8715219498,-0.0002605333226,0.8715217113,0,0.8715217113,-0.003217630386,0.8715217113,0,
0.8815228939,0.785,0.8815228939,-0.0002605333226,0.8815226555,0,0.8815226555,-0.005279519081,0.8815226555,0,
0.891493082,0.785,0.891493082,-0.0002605333226,0.891493082,0,0.891493082,-0.004557835579,0.891493082,0,
0.901509285,0.785,0.901509285,-0.0002605333226,0.9015090466,0,0.9015090466,-0.005691866875,0.9015090466,0,
0.9114954472,0.785,0.9114954472,-0.0002605333226,0.9114952087,0,0.9114952087,-0.003836152077,0.9114952087,0,
0.9215250015,0.785,0.9215250015,-0.0002605333226,0.9215250015,0,0.9215250015,-0.004351661682,0.9215250015,0,
0.9315285683,0.785,0.9315285683,-0.0002605333226,0.9315285683,0,0.9315285683,-0.00301145649,0.9315285683,0,
0.9415309429,0.785,0.9415309429,-0.0002605333226,0.9415309429,0,0.9415309429,-0.003733139992,0.9415309429,0,
0.9515235424,0.785,0.9515235424,-0.0002605333226,0.951523304,0,0.951523304,-0.002496096611,0.951523304,0,
0.9615213871,0.785,0.9615213871,-0.0002605333226,0.9615211487,0,0.9615211487,-0.00362997818,0.9615211487,0,
0.9715213776,0.785,0.9715213776,-0.0002605333226,0.9715213776,0,0.9715213776,-0.002908444405,0.9715213776,0,
0.9815232754,0.785,0.9815232754,-0.0002605333226,0.981523037,0,0.981523037,-0.003320792198,0.981523037,0,
0.9915218353,0.785,0.9915218353,-0.0002605333226,0.9915215969,0,0.9915215969,-0.003320792198,0.9915215969,0,
1.001521587,0.785,1.001521587,-0.0002605333226,1.001521587,0,1.001521587,-0.004764009476,1.001521587,0,
1.01150775,0.785,1.01150775,-0.0002605333226,1.011507511,0,1.011507511,-0.004867171288,1.011507511,0,
1.02150774,0.785,1.02150774,-0.0002605333226,1.02150774,0,1.02150774,-0.005898040771,1.02150774,0,
1.031522751,0.785,1.031522751,-0.0002605333226,1.031522512,0,1.031522512,-0.003836152077,1.031522512,0,
1.041522026,0.785,1.041522026,-0.0002605333226,1.041522026,0,1.041522026,-0.004042325974,1.041522026,0,
1.051522255,0.785,1.051522255,-0.0002605333226,1.051522017,0,1.051522017,-0.003939313889,1.051522017,0,
1.061522245,0.785,1.061522245,-0.0002605333226,1.061522245,0,1.061522245,-0.004557835579,1.061522245,0,
1.071522236,0.785,1.071522236,-0.0002605333226,1.071522236,0,1.071522236,-0.003526966095,1.071522236,0,
1.08152318,0.785,1.08152318,-0.0002605333226,1.081522942,0,1.081522942,-0.002392934799,1.081522942,0,
1.091525555,0.785,1.091525555,-0.0002605333226,1.091525555,0,1.091525555,-0.002908444405,1.091525555,0,
1.101522684,0.785,1.101522684,-0.0002605333226,1.101522446,0,1.101522446,-0.003836152077,1.101522446,0,
1.111508846,0.785,1.111508846,-0.0002605333226,1.111508608,0,1.111508608,-0.004970183372,1.111508608,0,
1.121505737,0.785,1.121505737,-0.0002605333226,1.121505737,0,1.121505737,-0.00424849987,1.121505737,0,
1.131504774,0.785,1.131504774,-0.0002605333226,1.131504774,0,1.131504774,-0.004867171288,1.131504774,0,
1.141505957,0.785,1.141505957,-0.0002605333226,1.141505957,0,1.141505957,-0.003217630386,1.141505957,0,
1.151524067,0.785,1.151524067,-0.0002605333226,1.151523829,0,1.151523829,-0.005691866875,1.151523829,0,
1.16152215,0.785,1.16152215,-0.0002605333226,1.161521912,0,1.161521912,-0.004764009476,1.161521912,0,
1.171526194,0.785,1.171526194,-0.0002605333226,1.171526194,0,1.171526194,-0.00424849987,1.171526194,0,
1.18149972,0.785,1.18149972,-0.0002605333226,1.181499481,0,1.181499481,-0.002496096611,1.181499481,0,
1.191524982,0.785,1.191524982,-0.0002605333226,1.191524744,0,1.191524744,-0.004557835579,1.191524744,0,
1.20152092,0.785,1.20152092,-0.0002605333226,1.201520681,0,1.201520681,-0.003320792198,1.201520681,0,
1.211523771,0.785,1.211523771,-0.0002605333226,1.211523771,0,1.211523771,-0.003320792198,1.211523771,0,
