"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/position[3]_x","/joint_states/position[3]_y"
-494264.9764,0,-494264.9764,0,-494265.0097,-0.00682589817,
-494264.943,0,-494264.943,0,-494264.9764,-0.006104214668,
-494264.9097,0,-494264.9097,0,-494264.943,-0.00641340065,
-494264.8764,0,-494264.8764,0,-494264.9097,-0.005898040771,
-494264.843,0,-494264.843,0,-494264.8764,-0.005382531166,
-494264.8097,0,-494264.8097,0,-494264.843,-0.005691866875,
-494264.7763,0,-494264.7763,0,-494264.8097,-0.005382531166,
-494264.7431,0,-494264.7431,0,-494264.7763,-0.005073345184,
-494264.7097,0,-494264.7097,0,-494264.7431,-0.004970183372,
-494264.6763,0,-494264.6763,0,-494264.7097,-0.005073345184,
-494264.643,0,-494264.643,0,-494264.6763,-0.003733139992,
-494264.6097,0,-494264.6097,0,-494264.643,-0.005073345184,
-494264.5763,0,-494264.5763,0,-494264.6097,-0.006104214668,
-494264.543,0,-494264.543,0,-494264.5763,-0.003836152077,
-494264.5097,0,-494264.5097,0,-494264.543,-0.005382531166,
-494264.4764,0,-494264.4764,0,-494264.5097,-0.005382531166,
-494264.443,0,-494264.443,0,-494264.4764,-0.004454823494,
-494264.4097,0,-494264.4097,0,-494264.443,-0.005898040771,
-494264.3764,0,-494264.3764,0,-494264.4097,-0.004660997391,
-494264.343,0,-494264.343,0,-494264.3764,-0.006928910255,
-494264.3097,0,-494264.3097,0,-494264.343,-0.006207226753,
-494264.2763,0,-494264.2763,0,-494264.3097,-0.005588705063,
-494264.243,0,-494264.243,0,-494264.2763,-0.005588705063,
-494264.2097,0,-494264.2097,0,-494264.243,-0.004454823494,
-494264.1764,0,-494264.1764,0,-494264.2097,-0.00362997818,
-494264.143,0,-494264.143,0,-494264.1764,-0.004764009476,
-494264.1097,0,-494264.1097,0,-494264.143,-0.005279519081,
-494264.0764,0,-494264.0764,0,-494264.1097,-0.005588705063,
-494264.043,0,-494264.043,0,-494264.0764,-0.005176357269,
-494264.0097,0,-494264.0097,0,-494264.043,-0.00424849987,
-494263.9764,0,-494263.9764,0,-494264.0097,-0.005073345184,
-494263.943,0,-494263.943,0,-494263.9764,-0.005279519081,
-494263.9097,0,-494263.9097,0,-494263.943,-0.005588705063,
-494263.8764,0,-494263.8764,0,-494263.9097,-0.006001052856,
-494263.843,0,-494263.843,0,-494263.8764,-0.00682589817,
-494263.8097,0,-494263.8097,0,-494263.843,-0.006619574547,
-494263.7763,0,-494263.7763,0,-494263.8097,-0.005382531166,
-494263.743,0,-494263.743,0,-494263.7763,-0.006516562462,
-494263.7097,0,-494263.7097,0,-494263.743,-0.006001052856,
-494263.6764,0,-494263.6764,0,-494263.7097,-0.006207226753,
-494263.643,0,-494263.643,0,-494263.6764,-0.005691866875,
-494263.6097,0,-494263.6097,0,-494263.643,-0.005382531166,
-494263.5764,0,-494263.5764,0,-494263.6097,-0.006310388565,
-494263.543,0,-494263.543,0,-494263.5764,-0.006001052856,
-494263.5097,0,-494263.5097,0,-494263.543,-0.004557835579,
-494263.4764,0,-494263.4764,0,-494263.5097,-0.004557835579,
-494263.443,0,-494263.443,0,-494263.4764,-0.004867171288,
-494263.4097,0,-494263.4097,0,-494263.443,-0.006001052856,
-494263.3764,0,-494263.3764,0,-494263.4097,-0.005382531166,
-494263.343,0,-494263.343,0,-494263.3764,-0.005588705063,
-494263.3097,0,-494263.3097,0,-494263.343,-0.006207226753,
