"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
-494853.7272,0,-494853.7272,0,-494853.7605,0,-494853.7605,-0.00682589817,-494853.7605,0,
-494853.6939,0,-494853.6939,0,-494853.7272,0,-494853.7272,-0.006104214668,-494853.7272,0,
-494853.6605,0,-494853.6605,0,-494853.6939,0,-494853.6939,-0.00641340065,-494853.6939,0,
-494853.6272,0,-494853.6272,0,-494853.6605,0,-494853.6605,-0.005898040771,-494853.6605,0,
-494853.5938,0,-494853.5938,0,-494853.6272,0,-494853.6272,-0.005382531166,-494853.6272,0,
-494853.5605,0,-494853.5605,0,-494853.5938,0,-494853.5938,-0.005691866875,-494853.5938,0,
-494853.5272,0,-494853.5272,0,-494853.5605,0,-494853.5605,-0.005382531166,-494853.5605,0,
-494853.4939,0,-494853.4939,0,-494853.5272,0,-494853.5272,-0.005073345184,-494853.5272,0,
-494853.4605,0,-494853.4605,0,-494853.4939,0,-494853.4939,-0.004970183372,-494853.4939,0,
-494853.4272,0,-494853.4272,0,-494853.4605,0,-494853.4605,-0.005073345184,-494853.4605,0,
-494853.3939,0,-494853.3939,0,-494853.4272,0,-494853.4272,-0.003733139992,-494853.4272,0,
-494853.3605,0,-494853.3605,0,-494853.3939,0,-494853.3939,-0.005073345184,-494853.3939,0,
-494853.3272,0,-494853.3272,0,-494853.3605,0,-494853.3605,-0.006104214668,-494853.3605,0,
-494853.2939,0,-494853.2939,0,-494853.3272,0,-494853.3272,-0.003836152077,-494853.3272,0,
-494853.2605,0,-494853.2605,0,-494853.2939,0,-494853.2939,-0.005382531166,-494853.2939,0,
-494853.2272,0,-494853.2272,0,-494853.2605,0,-494853.2605,-0.005382531166,-494853.2605,0,
-494853.1939,0,-494853.1939,0,-494853.2272,0,-494853.2272,-0.004454823494,-494853.2272,0,
-494853.1605,0,-494853.1605,0,-494853.1939,0,-494853.1939,-0.005898040771,-494853.1939,0,
-494853.1272,0,-494853.1272,0,-494853.1605,0,-494853.1605,-0.004660997391,-494853.1605,0,
-494853.0939,0,-494853.0939,0,-494853.1272,0,-494853.1272,-0.006928910255,-494853.1272,0,
-494853.0605,0,-494853.0605,0,-494853.0939,0,-494853.0939,-0.006207226753,-494853.0939,0,
-494853.0272,0,-494853.0272,0,-494853.0605,0,-494853.0605,-0.005588705063,-494853.0605,0,
-494852.9939,0,-494852.9939,0,-494853.0272,0,-494853.0272,-0.005588705063,-494853.0272,0,
-494852.9605,0,-494852.9605,0,-494852.9939,0,-494852.9939,-0.004454823494,-494852.9939,0,
-494852.9272,0,-494852.9272,0,-494852.9605,0,-494852.9605,-0.00362997818,-494852.9605,0,
-494852.8938,0,-494852.8938,0,-494852.9272,0,-494852.9272,-0.004764009476,-494852.9272,0,
-494852.8605,0,-494852.8605,0,-494852.8938,0,-494852.8938,-0.005279519081,-494852.8938,0,
-494852.8272,0,-494852.8272,0,-494852.8605,0,-494852.8605,-0.005588705063,-494852.8605,0,
-494852.7939,0,-494852.7939,0,-494852.8272,0,-494852.8272,-0.005176357269,-494852.8272,0,
-494852.7605,0,-494852.7605,0,-494852.7939,0,-494852.7939,-0.00424849987,-494852.7939,0,
-494852.7272,0,-494852.7272,0,-494852.7605,0,-494852.7605,-0.005073345184,-494852.7605,0,
-494852.6939,0,-494852.6939,0,-494852.7272,0,-494852.7272,-0.005279519081,-494852.7272,0,
-494852.6605,0,-494852.6605,0,-494852.6939,0,-494852.6939,-0.005588705063,-494852.6939,0,
-494852.6272,0,-494852.6272,0,-494852.6605,0,-494852.6605,-0.006001052856,-494852.6605,0,
-494852.5938,0,-494852.5938,0,-494852.6272,0,-494852.6272,-0.00682589817,-494852.6272,0,
-494852.5605,0,-494852.5605,0,-494852.5938,0,-494852.5938,-0.006619574547,-494852.5938,0,
-494852.5272,0,-494852.5272,0,-494852.5605,0,-494852.5605,-0.005382531166,-494852.5605,0,
-494852.4939,0,-494852.4939,0,-494852.5272,0,-494852.5272,-0.006516562462,-494852.5272,0,
-494852.4605,0,-494852.4605,0,-494852.4939,0,-494852.4939,-0.006001052856,-494852.4939,0,
-494852.4272,0,-494852.4272,0,-494852.4605,0,-494852.4605,-0.006207226753,-494852.4605,0,
