"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1273281574,0,0.1273281574,0,0.1373271942,0,0.1373271942,-0.00682589817,0.1473278999,0,
0.1373274326,0,0.1373274326,0,0.1473278999,0,0.1473278999,-0.006001052856,0.1573278904,0,
0.1473278999,0,0.1473278999,0,0.1573278904,0,0.1573278904,-0.006516562462,0.1673276424,0,
0.1573281288,0,0.1573281288,0,0.1673276424,0,0.1673276424,-0.004764009476,0.1773474216,0,
0.1673276424,0,0.1673276424,0,0.1773474216,0,0.1773474216,-0.004764009476,0.1873278618,0,
0.1773474216,0,0.1773474216,0,0.1873278618,0,0.1873278618,-0.006619574547,0.1973290443,0,
0.1873281002,0,0.1873281002,0,0.1973290443,0,0.1973290443,-0.007547431946,0.2073271275,0,
0.1973292828,0,0.1973292828,0,0.2073271275,0,0.2073271275,-0.007238245964,0.2173271179,0,
0.2073271275,0,0.2073271275,0,0.2173271179,0,0.2173271179,-0.006001052856,0.2273259163,0,
0.2173271179,0,0.2173271179,0,0.2273259163,0,0.2273259163,-0.006001052856,0.2373287678,0,
0.2273261547,0,0.2273261547,0,0.2373287678,0,0.2373287678,-0.006001052856,0.2473406792,0,
0.2373290062,0,0.2373290062,0,0.2473406792,0,0.2473406792,-0.005073345184,0.2573311329,0,
0.2473406792,0,0.2473406792,0,0.2573311329,0,0.2573311329,-0.004867171288,0.267332077,0,
0.2573313713,0,0.2573313713,0,0.267332077,0,0.267332077,-0.006104214668,0.2773454189,0,
0.2673323154,0,0.2673323154,0,0.2773454189,0,0.2773454189,-0.006104214668,0.2873649597,0,
0.2773456573,0,0.2773456573,0,0.2873649597,0,0.2873649597,-0.007341258049,0.2973344326,0,
0.2873649597,0,0.2873649597,0,0.2973344326,0,0.2973344326,-0.006104214668,0.3073508739,0,
0.2973349094,0,0.2973349094,0,0.3073508739,0,0.3073508739,-0.007650593758,0.3173322678,0,
0.3073513508,0,0.3073513508,0,0.3173322678,0,0.3173322678,-0.005898040771,0.3273379803,0,
0.3173325062,0,0.3173325062,0,0.3273379803,0,0.3273379803,-0.00641340065,0.3373277187,0,
0.3273382187,0,0.3273382187,0,0.3373277187,0,0.3373277187,-0.00641340065,0.3473308086,0,
0.3373279572,0,0.3373279572,0,0.3473308086,0,0.3473308086,-0.005382531166,0.3573319912,0,
0.3473310471,0,0.3473310471,0,0.3573319912,0,0.3573319912,-0.005382531166,0.3673336506,0,
0.3573322296,0,0.3573322296,0,0.3673336506,0,0.3673336506,-0.005176357269,0.3773422241,0,
0.367333889,0,0.367333889,0,0.3773422241,0,0.3773422241,-0.005176357269,0.3873558044,0,
0.3773424625,0,0.3773424625,0,0.3873558044,0,0.3873558044,-0.005691866875,0.3973300457,0,
0.3873558044,0,0.3873558044,0,0.3973300457,0,0.3973300457,-0.005382531166,0.407330513,0,
0.3973302841,0,0.3973302841,0,0.407330513,0,0.407330513,-0.006104214668,0.4173285961,0,
0.4073309898,0,0.4073309898,0,0.4173285961,0,0.4173285961,-0.00682589817,0.4273393154,0,
0.4173288345,0,0.4173288345,0,0.4273393154,0,0.4273393154,-0.007238245964,0.4373562336,0,
0.4273395538,0,0.4273395538,0,0.4373562336,0,0.4373562336,-0.007238245964,0.4473359585,0,
0.437356472,0,0.437356472,0,0.4473359585,0,0.4473359585,-0.005485692978,0.4573318958,0,
0.4473361969,0,0.4473361969,0,0.4573318958,0,0.4573318958,-0.006722736359,0.4673380852,0,
0.4573321342,0,0.4573321342,0,0.4673380852,0,0.4673380852,-0.004970183372,0.477353096,0,
0.4673380852,0,0.4673380852,0,0.477353096,0,0.477353096,-0.004970183372,0.4873423576,0,
0.4773533344,0,0.4773533344,0,0.4873423576,0,0.4873423576,-0.004660997391,0.4973392487,0,
0.4873425961,0,0.4873425961,0,0.4973392487,0,0.4973392487,-0.007032072067,0.5073268414,0,
0.4973394871,0,0.4973394871,0,0.5073268414,0,0.5073268414,-0.007341258049,0.5173392296,0,
0.5073268414,0,0.5073268414,0,0.5173392296,0,0.5173392296,-0.007547431946,0.5273375511,0,
0.5173392296,0,0.5173392296,0,0.5273375511,0,0.5273375511,-0.006001052856,0.537352562,0,
0.5273375511,0,0.5273375511,0,0.537352562,0,0.537352562,-0.006001052856,0.5473365784,0,
0.5373528004,0,0.5373528004,0,0.5473365784,0,0.5473365784,-0.004867171288,0.5573296547,0,
0.5473368168,0,0.5473368168,0,0.5573296547,0,0.5573296547,-0.006104214668,0.5673596859,0,
0.5573296547,0,0.5573296547,0,0.5673596859,0,0.5673596859,-0.006207226753,0.5773427486,0,
0.5673599243,0,0.5673599243,0,0.5773427486,0,0.5773427486,-0.006207226753,0.587364912,0,
0.5773427486,0,0.5773427486,0,0.587364912,0,0.587364912,-0.00682589817,0.5973467827,0,
0.5873651505,0,0.5873651505,0,0.5973467827,0,0.5973467827,-0.005382531166,0.6073379517,0,
0.5973470211,0,0.5973470211,0,0.6073379517,0,0.6073379517,-0.007032072067,0.6173374653,0,
0.6073379517,0,0.6073379517,0,0.6173374653,0,0.6173374653,-0.007238245964,0.6273274422,0,
0.6173377037,0,0.6173377037,0,0.6273274422,0,0.6273274422,-0.007238245964,0.6373529434,0,
0.6273276806,0,0.6273276806,0,0.6373529434,0,0.6373529434,-0.007238245964,0.6473674774,0,
0.6373531818,0,0.6373531818,0,0.6473674774,0,0.6473674774,-0.007341258049,0.6573290825,0,
0.6473674774,0,0.6473674774,0,0.6573290825,0,0.6573290825,-0.006001052856,0.6673440933,0,
0.6573293209,0,0.6573293209,0,0.6673440933,0,0.6673440933,-0.007341258049,0.6773519516,0,
0.6673443317,0,0.6673443317,0,0.6773519516,0,0.6773519516,-0.007341258049,0.6873366833,0,
0.67735219,0,0.67735219,0,0.6873366833,0,0.6873366833,-0.006001052856,0.6973285675,0,
