"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1218867302,0,0.1218867302,0,0.1218867302,0,0.1218867302,-0.004660997391,0.1218867302,0,
0.1318964958,0,0.1318964958,0,0.1318964958,0,0.1318964958,-0.005279519081,0.1318964958,0,
0.1419012547,0,0.1419012547,0,0.1419012547,0,0.1419012547,-0.005485692978,0.1419012547,0,
0.1518952847,0,0.1518952847,0,0.1518950462,0,0.1518950462,-0.005588705063,0.1518950462,0,
0.1618895531,0,0.1618895531,0,0.1618893147,0,0.1618893147,-0.006619574547,0.1618893147,0,
0.171895504,0,0.171895504,0,0.171895504,0,0.171895504,-0.007135084152,0.171895504,0,
0.1818993092,0,0.1818993092,0,0.1818990707,0,0.1818990707,-0.007032072067,0.1818990707,0,
0.1919202805,0,0.1919202805,0,0.1919202805,0,0.1919202805,-0.006928910255,0.1919202805,0,
0.2018976212,0,0.2018976212,0,0.2018973827,0,0.2018973827,-0.007135084152,0.2018973827,0,
0.2119209766,0,0.2119209766,0,0.2119207382,0,0.2119207382,-0.006310388565,0.2119207382,0,
0.2218837738,0,0.2218837738,0,0.2218837738,0,0.2218837738,-0.00641340065,0.2218837738,0,
0.2318980694,0,0.2318980694,0,0.231897831,0,0.231897831,-0.00641340065,0.231897831,0,
0.2419188023,0,0.2419188023,0,0.2419185638,0,0.2419185638,-0.006104214668,0.2419185638,0,
0.2518846989,0,0.2518846989,0,0.2518844604,0,0.2518844604,-0.006001052856,0.2518844604,0,
0.2618715763,0,0.2618715763,0,0.2618713379,0,0.2618713379,-0.006207226753,0.2618713379,0,
0.2719118595,0,0.2719118595,0,0.2719118595,0,0.2719118595,-0.008062941551,0.2719118595,0,
0.2819120884,0,0.2819120884,0,0.28191185,0,0.28191185,-0.008269115448,0.28191185,0,
0.291885376,0,0.291885376,0,0.2918851376,0,0.2918851376,-0.008887637138,0.2918851376,0,
0.3018817902,0,0.3018817902,0,0.3018815517,0,0.3018815517,-0.006928910255,0.3018815517,0,
0.3118979931,0,0.3118979931,0,0.3118977547,0,0.3118977547,-0.006001052856,0.3118977547,0,
0.3219089508,0,0.3219089508,0,0.3219087124,0,0.3219087124,-0.005382531166,0.3219087124,0,
