"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1268031597,0,0.1268031597,0,0.1268029213,0,0.1268029213,-0.006516562462,0.1268029213,0,
0.1368119717,0,0.1368119717,0,0.1368119717,0,0.1368119717,-0.006001052856,0.1368119717,0,
0.146821022,0,0.146821022,0,0.146821022,0,0.146821022,-0.007444419861,0.146821022,0,
0.1568007469,0,0.1568007469,0,0.1568007469,0,0.1568007469,-0.007753605843,0.1568007469,0,
0.1667876244,0,0.1667876244,0,0.1667871475,0,0.1667871475,-0.00579487896,0.1667871475,0,
0.1768035889,0,0.1768035889,0,0.1768035889,0,0.1768035889,-0.007444419861,0.1768035889,0,
0.1868002415,0,0.1868002415,0,0.1868000031,0,0.1868000031,-0.007650593758,0.1868000031,0,
0.1967992783,0,0.1967992783,0,0.1967990398,0,0.1967990398,-0.005485692978,0.1967990398,0,
0.2067987919,0,0.2067987919,0,0.2067985535,0,0.2067985535,-0.005485692978,0.2067985535,0,
0.2168068886,0,0.2168068886,0,0.2168064117,0,0.2168064117,-0.007444419861,0.2168064117,0,
0.2268035412,0,0.2268035412,0,0.2268033028,0,0.2268033028,-0.006104214668,0.2268033028,0,
0.2368044853,0,0.2368044853,0,0.2368044853,0,0.2368044853,-0.00682589817,0.2368044853,0,
0.2468025684,0,0.2468025684,0,0.2468025684,0,0.2468025684,-0.007238245964,0.2468025684,0,
0.2568116188,0,0.2568116188,0,0.2568116188,0,0.2568116188,-0.006619574547,0.2568116188,0,
0.2667989731,0,0.2667989731,0,0.2667987347,0,0.2667987347,-0.00579487896,0.2667987347,0,
0.2768011093,0,0.2768011093,0,0.2768008709,0,0.2768008709,-0.006104214668,0.2768008709,0,
0.286798954,0,0.286798954,0,0.286798954,0,0.286798954,-0.007341258049,0.286798954,0,
0.2968273163,0,0.2968273163,0,0.2968273163,0,0.2968273163,-0.007135084152,0.2968273163,0,
0.3068037033,0,0.3068037033,0,0.3068034649,0,0.3068034649,-0.00579487896,0.3068034649,0,
0.3168258667,0,0.3168258667,0,0.3168258667,0,0.3168258667,-0.007032072067,0.3168258667,0,
0.3267827034,0,0.3267827034,0,0.326782465,0,0.326782465,-0.008372127533,0.326782465,0,
0.3368272781,0,0.3368272781,0,0.3368272781,0,0.3368272781,-0.00641340065,0.3368272781,0,
0.3468396664,0,0.3468396664,0,0.3468394279,0,0.3468394279,-0.005588705063,0.3468394279,0,
0.3568034172,0,0.3568034172,0,0.3568034172,0,0.3568034172,-0.007341258049,0.3568034172,0,
0.3668134212,0,0.3668134212,0,0.3668131828,0,0.3668131828,-0.006928910255,0.3668131828,0,
0.3768262863,0,0.3768262863,0,0.3768260479,0,0.3768260479,-0.005279519081,0.3768260479,0,
0.386841774,0,0.386841774,0,0.3868415356,0,0.3868415356,-0.006310388565,0.3868415356,0,
0.3968093395,0,0.3968093395,0,0.3968091011,0,0.3968091011,-0.006928910255,0.3968091011,0,
0.4067995548,0,0.4067995548,0,0.4067995548,0,0.4067995548,-0.005485692978,0.4067995548,0,
0.4168264866,0,0.4168264866,0,0.4168262482,0,0.4168262482,-0.006104214668,0.4168262482,0,
0.4268124104,0,0.4268124104,0,0.4268121719,0,0.4268121719,-0.00579487896,0.4268121719,0,
0.436830759,0,0.436830759,0,0.436830759,0,0.436830759,-0.006619574547,0.436830759,0,
0.4468019009,0,0.4468019009,0,0.4468019009,0,0.4468019009,-0.006928910255,0.4468019009,0,
0.4568109512,0,0.4568109512,0,0.4568109512,0,0.4568109512,-0.006104214668,0.4568109512,0,
0.4668381214,0,0.4668381214,0,0.466837883,0,0.466837883,-0.006619574547,0.466837883,0,
0.4768002033,0,0.4768002033,0,0.4767999649,0,0.4767999649,-0.00641340065,0.4767999649,0,
0.4867892265,0,0.4867892265,0,0.4867889881,0,0.4867889881,-0.005279519081,0.4867889881,0,
0.4968047142,0,0.4968047142,0,0.4968044758,0,0.4968044758,-0.005691866875,0.4968044758,0,
0.5068044662,0,0.5068044662,0,0.5068042278,0,0.5068042278,-0.006619574547,0.5068042278,0,
0.5168042183,0,0.5168042183,0,0.5168042183,0,0.5168042183,-0.006516562462,0.5168042183,0,
0.5268132687,0,0.5268132687,0,0.5268130302,0,0.5268130302,-0.006619574547,0.5268130302,0,
0.5368278027,0,0.5368278027,0,0.5368275642,0,0.5368275642,-0.004970183372,0.5368275642,0,
0.5468287468,0,0.5468287468,0,0.5468285084,0,0.5468285084,-0.00641340065,0.5468285084,0,
0.556828022,0,0.556828022,0,0.556828022,0,0.556828022,-0.007341258049,0.556828022,0,
0.566804409,0,0.566804409,0,0.5668041706,0,0.5668041706,-0.004764009476,0.5668041706,0,
0.576820612,0,0.576820612,0,0.5768201351,0,0.5768201351,-0.005279519081,0.5768201351,0,
0.5868160725,0,0.5868160725,0,0.5868160725,0,0.5868160725,-0.00579487896,0.5868160725,0,
