"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1257059574,0,0.1257059574,0,0.125705719,0,0.125705719,-0.01734106636,0.125705719,0,
0.1357064247,0,0.1357064247,0,0.1357061863,0,0.1357061863,-0.01837193584,0.1357061863,0,
0.1457028389,0,0.1457028389,0,0.1457028389,0,0.1457028389,-0.01672254467,0.1457028389,0,
0.1557126045,0,0.1557126045,0,0.1557126045,0,0.1557126045,-0.01826892376,0.1557126045,0,
0.1657159328,0,0.1657159328,0,0.1657159328,0,0.1657159328,-0.01868127155,0.1657159328,0,
0.1757185459,0,0.1757185459,0,0.1757183075,0,0.1757183075,-0.01713489246,0.1757183075,0,
0.1857321262,0,0.1857321262,0,0.1857318878,0,0.1857318878,-0.01765025234,0.1857318878,0,
0.1957314014,0,0.1957314014,0,0.195731163,0,0.195731163,-0.01713489246,0.195731163,0,
0.2057292461,0,0.2057292461,0,0.2057292461,0,0.2057292461,-0.01888744545,0.2057292461,0,
0.2157175541,0,0.2157175541,0,0.2157175541,0,0.2157175541,-0.01661938286,0.2157175541,0,
0.2257125378,0,0.2257125378,0,0.2257125378,0,0.2257125378,-0.01651637077,0.2257125378,0,
0.2357070446,0,0.2357070446,0,0.2357068062,0,0.2357068062,-0.01868127155,0.2357068062,0,
0.2457315922,0,0.2457315922,0,0.2457315922,0,0.2457315922,-0.01713489246,0.2457315922,0,
0.2557017803,0,0.2557017803,0,0.2557017803,0,0.2557017803,-0.01703173065,0.2557017803,0,
0.2657079697,0,0.2657079697,0,0.2657077312,0,0.2657077312,-0.01795958805,0.2657077312,0,
0.2757036686,0,0.2757036686,0,0.2757034302,0,0.2757034302,-0.01672254467,0.2757034302,0,
0.2857303619,0,0.2857303619,0,0.2857301235,0,0.2857301235,-0.01795958805,0.2857301235,0,
0.295715332,0,0.295715332,0,0.2957150936,0,0.2957150936,-0.01785657597,0.2957150936,0,
0.3057301044,0,0.3057301044,0,0.305729866,0,0.305729866,-0.01641320896,0.305729866,0,
0.3157305717,0,0.3157305717,0,0.3157303333,0,0.3157303333,-0.01785657597,0.3157303333,0,
0.3257026672,0,0.3257026672,0,0.3257026672,0,0.3257026672,-0.01775341415,0.3257026672,0,
0.3356897831,0,0.3356897831,0,0.3356895447,0,0.3356895447,-0.01703173065,0.3356895447,0,
0.3457171917,0,0.3457171917,0,0.3457169533,0,0.3457169533,-0.01744407845,0.3457169533,0,
0.3557193279,0,0.3557193279,0,0.3557193279,0,0.3557193279,-0.01713489246,0.3557193279,0,
0.3657152653,0,0.3657152653,0,0.3657152653,0,0.3657152653,-0.01713489246,0.3657152653,0,
0.3757381439,0,0.3757381439,0,0.3757379055,0,0.3757379055,-0.01734106636,0.3757379055,0,
0.3857293129,0,0.3857293129,0,0.3857290745,0,0.3857290745,-0.01765025234,0.3857290745,0,
0.395737648,0,0.395737648,0,0.3957374096,0,0.3957374096,-0.01785657597,0.3957374096,0,
0.4057135582,0,0.4057135582,0,0.4057135582,0,0.4057135582,-0.01826892376,0.4057135582,0,
0.4157347679,0,0.4157347679,0,0.4157345295,0,0.4157345295,-0.01785657597,0.4157345295,0,
0.4257063866,0,0.4257063866,0,0.4257061481,0,0.4257061481,-0.01682555676,0.4257061481,0,
0.4357204437,0,0.4357204437,0,0.4357202053,0,0.4357202053,-0.01816576195,0.4357202053,0,
0.4457321167,0,0.4457321167,0,0.4457318783,0,0.4457318783,-0.01600086117,0.4457318783,0,
0.4557423592,0,0.4557423592,0,0.4557421207,0,0.4557421207,-0.01847509766,0.4557421207,0,
0.4657142162,0,0.4657142162,0,0.4657139778,0,0.4657139778,-0.01765025234,0.4657139778,0,
0.4757187366,0,0.4757187366,0,0.4757187366,0,0.4757187366,-0.01785657597,0.4757187366,0,
0.4857299328,0,0.4857299328,0,0.4857296944,0,0.4857296944,-0.01806274986,0.4857296944,0,
0.4957036972,0,0.4957036972,0,0.4957036972,0,0.4957036972,-0.01703173065,0.4957036972,0,
0.5057294369,0,0.5057294369,0,0.5057294369,0,0.5057294369,-0.01744407845,0.5057294369,0,
0.5157296658,0,0.5157296658,0,0.5157296658,0,0.5157296658,-0.01775341415,0.5157296658,0,
0.525714159,0,0.525714159,0,0.5257139206,0,0.5257139206,-0.01682555676,0.5257139206,0,
0.5357391834,0,0.5357391834,0,0.535738945,0,0.535738945,-0.01878428364,0.535738945,0,
0.5457308292,0,0.5457308292,0,0.5457305908,0,0.5457305908,-0.01816576195,0.5457305908,0,
0.5557053089,0,0.5557053089,0,0.5557050705,0,0.5557050705,-0.01631019688,0.5557050705,0,
0.5657320023,0,0.5657320023,0,0.5657317638,0,0.5657317638,-0.01857810974,0.5657317638,0,
0.5757284164,0,0.5757284164,0,0.575728178,0,0.575728178,-0.01734106636,0.575728178,0,
0.5857307911,0,0.5857307911,0,0.5857305527,0,0.5857305527,-0.01610402298,0.5857305527,0,
0.5957050323,0,0.5957050323,0,0.5957047939,0,0.5957047939,-0.01857810974,0.5957047939,0,
0.6057298183,0,0.6057298183,0,0.6057295799,0,0.6057295799,-0.01734106636,0.6057295799,0,
0.6157214642,0,0.6157214642,0,0.6157212257,0,0.6157212257,-0.01837193584,0.6157212257,0,
0.6257045269,0,0.6257045269,0,0.6257045269,0,0.6257045269,-0.01754724026,0.6257045269,0,
0.6357119083,0,0.6357119083,0,0.6357116699,0,0.6357116699,-0.01744407845,0.6357116699,0,
0.6457333565,0,0.6457333565,0,0.6457333565,0,0.6457333565,-0.01795958805,0.6457333565,0,
0.6557066441,0,0.6557066441,0,0.6557064056,0,0.6557064056,-0.01589784908,0.6557064056,0,
0.6657152176,0,0.6657152176,0,0.6657149792,0,0.6657149792,-0.01734106636,0.6657149792,0,
0.6757051945,0,0.6757051945,0,0.6757049561,0,0.6757049561,-0.01806274986,0.6757049561,0,
0.6857111454,0,0.6857111454,0,0.685710907,0,0.685710907,-0.01723790455,0.685710907,0,
0.6957037449,0,0.6957037449,0,0.6957035065,0,0.6957035065,-0.01785657597,0.6957035065,0,
0.7057306767,0,0.7057306767,0,0.7057304382,0,0.7057304382,-0.01631019688,0.7057304382,0,
0.7157092094,0,0.7157092094,0,0.715708971,0,0.715708971,-0.01631019688,0.715708971,0,
0.7257041931,0,0.7257041931,0,0.7257041931,0,0.7257041931,-0.01775341415,0.7257041931,0,
0.735735178,0,0.735735178,0,0.7357349396,0,0.7357349396,-0.01589784908,0.7357349396,0,
0.7457289696,0,0.7457289696,0,0.7457287312,0,0.7457287312,-0.01940280533,0.7457287312,0,
0.7557151318,0,0.7557151318,0,0.7557148933,0,0.7557148933,-0.01692871857,0.7557148933,0,
