"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1312730312,0,0.1312730312,0,0.1312727928,0,0.1312727928,-0.01713489246,0.1312727928,0,
0.1412963867,0,0.1412963867,0,0.1412961483,0,0.1412961483,-0.01960897923,0.1412961483,0,
0.1512720585,0,0.1512720585,0,0.1512718201,0,0.1512718201,-0.01960897923,0.1512718201,0,
0.1612651348,0,0.1612651348,0,0.161264658,0,0.161264658,-0.01703173065,0.161264658,0,
0.1712734699,0,0.1712734699,0,0.1712734699,0,0.1712734699,-0.01857810974,0.1712734699,0,
0.1812918186,0,0.1812918186,0,0.1812915802,0,0.1812915802,-0.01929979324,0.1812915802,0,
0.1912739277,0,0.1912739277,0,0.1912739277,0,0.1912739277,-0.01847509766,0.1912739277,0,
0.2012939453,0,0.2012939453,0,0.2012934685,0,0.2012934685,-0.01878428364,0.2012934685,0,
0.2112751007,0,0.2112751007,0,0.2112751007,0,0.2112751007,-0.01899045753,0.2112751007,0,
0.2212731838,0,0.2212731838,0,0.2212729454,0,0.2212729454,-0.01888744545,0.2212729454,0,
0.2312984467,0,0.2312984467,0,0.2312984467,0,0.2312984467,-0.01981515312,0.2312984467,0,
0.2412679195,0,0.2412679195,0,0.2412676811,0,0.2412676811,-0.01960897923,0.2412676811,0,
0.2512862682,0,0.2512862682,0,0.2512862682,0,0.2512862682,-0.01744407845,0.2512862682,0,
0.2612788677,0,0.2612788677,0,0.2612783909,0,0.2612783909,-0.01960897923,0.2612783909,0,
0.2712972164,0,0.2712972164,0,0.271296978,0,0.271296978,-0.01919663143,0.271296978,0,
0.2813014984,0,0.2813014984,0,0.2813014984,0,0.2813014984,-0.01919663143,0.2813014984,0,
0.2912740707,0,0.2912740707,0,0.2912738323,0,0.2912738323,-0.01806274986,0.2912738323,0,
0.3012769222,0,0.3012769222,0,0.3012766838,0,0.3012766838,-0.01857810974,0.3012766838,0,
0.3112947941,0,0.3112947941,0,0.3112947941,0,0.3112947941,-0.01816576195,0.3112947941,0,
0.3212733269,0,0.3212733269,0,0.3212730885,0,0.3212730885,-0.01919663143,0.3212730885,0,
0.331287384,0,0.331287384,0,0.331287384,0,0.331287384,-0.01929979324,0.331287384,0,
0.3412752151,0,0.3412752151,0,0.3412744999,0,0.3412744999,-0.01847509766,0.3412744999,0,
0.3512744904,0,0.3512744904,0,0.3512742519,0,0.3512742519,-0.01857810974,0.3512742519,0,
0.3612923622,0,0.3612923622,0,0.3612923622,0,0.3612923622,-0.01940280533,0.3612923622,0,
0.3712711334,0,0.3712711334,0,0.3712711334,0,0.3712711334,-0.02012448883,0.3712711334,0,
0.3812644482,0,0.3812644482,0,0.3812639713,0,0.3812639713,-0.01837193584,0.3812639713,0,
0.3912761211,0,0.3912761211,0,0.3912756443,0,0.3912756443,-0.01754724026,0.3912756443,0,
0.4012572765,0,0.4012572765,0,0.4012572765,0,0.4012572765,-0.01991831493,0.4012572765,0,
0.4112823009,0,0.4112823009,0,0.4112820625,0,0.4112820625,-0.01940280533,0.4112820625,0,
0.4212729931,0,0.4212729931,0,0.4212729931,0,0.4212729931,-0.01703173065,0.4212729931,0,
0.4312880039,0,0.4312880039,0,0.4312877655,0,0.4312877655,-0.01837193584,0.4312877655,0,
0.4412713051,0,0.4412713051,0,0.4412710667,0,0.4412710667,-0.01888744545,0.4412710667,0,
0.4512891769,0,0.4512891769,0,0.4512891769,0,0.4512891769,-0.01888744545,0.4512891769,0,
0.4612729549,0,0.4612729549,0,0.4612727165,0,0.4612727165,-0.01950596714,0.4612727165,0,
0.4713008404,0,0.4713008404,0,0.4713008404,0,0.4713008404,-0.01775341415,0.4713008404,0,
0.4812848568,0,0.4812848568,0,0.4812846184,0,0.4812846184,-0.01754724026,0.4812846184,0,
0.4912865162,0,0.4912865162,0,0.4912865162,0,0.4912865162,-0.01909361935,0.4912865162,0,
0.5012738705,0,0.5012738705,0,0.501273632,0,0.501273632,-0.02012448883,0.501273632,0,
0.5113015175,0,0.5113015175,0,0.5113015175,0,0.5113015175,-0.01775341415,0.5113015175,0,
