"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.125232935,0,0.125232935,0,0.1252326965,0,0.1252326965,-0.005898040771,0.1252326965,0,
0.1352388859,0,0.1352388859,0,0.1352386475,0,0.1352386475,-0.007856767654,0.1352386475,0,
0.1452338696,0,0.1452338696,0,0.1452336311,0,0.1452336311,-0.007650593758,0.1452336311,0,
0.1552324295,0,0.1552324295,0,0.1552321911,0,0.1552321911,-0.006104214668,0.1552321911,0,
0.1652338505,0,0.1652338505,0,0.1652336121,0,0.1652336121,-0.007650593758,0.1652336121,0,
0.1752192974,0,0.1752192974,0,0.175219059,0,0.175219059,-0.00682589817,0.175219059,0,
0.1852350235,0,0.1852350235,0,0.1852347851,0,0.1852347851,-0.006619574547,0.1852347851,0,
0.1952483654,0,0.1952483654,0,0.195248127,0,0.195248127,-0.006722736359,0.195248127,0,
0.205231905,0,0.205231905,0,0.2052316666,0,0.2052316666,-0.007753605843,0.2052316666,0,
0.2152342796,0,0.2152342796,0,0.2152342796,0,0.2152342796,-0.007238245964,0.2152342796,0,
0.2252383232,0,0.2252383232,0,0.2252380848,0,0.2252380848,-0.007856767654,0.2252380848,0,
0.2352359295,0,0.2352359295,0,0.2352356911,0,0.2352356911,-0.00682589817,0.2352356911,0,
0.2452318668,0,0.2452318668,0,0.2452318668,0,0.2452318668,-0.005898040771,0.2452318668,0,
0.2552583218,0,0.2552583218,0,0.2552583218,0,0.2552583218,-0.005898040771,0.2552583218,0,
0.2652351856,0,0.2652351856,0,0.2652349472,0,0.2652349472,-0.007547431946,0.2652349472,0,
0.2752327919,0,0.2752327919,0,0.2752325535,0,0.2752325535,-0.006104214668,0.2752325535,0,
0.285230875,0,0.285230875,0,0.2852306366,0,0.2852306366,-0.006928910255,0.2852306366,0,
0.2952327728,0,0.2952327728,0,0.2952325344,0,0.2952325344,-0.007547431946,0.2952325344,0,
0.3052313328,0,0.3052313328,0,0.3052313328,0,0.3052313328,-0.006928910255,0.3052313328,0,
0.3152396679,0,0.3152396679,0,0.3152394295,0,0.3152394295,-0.006104214668,0.3152394295,0,
0.3252527714,0,0.3252527714,0,0.3252522945,0,0.3252522945,-0.00641340065,0.3252522945,0,
0.3352730274,0,0.3352730274,0,0.3352730274,0,0.3352730274,-0.007547431946,0.3352730274,0,
0.3452119827,0,0.3452119827,0,0.3452117443,0,0.3452117443,-0.007341258049,0.3452117443,0,
0.3552355766,0,0.3552355766,0,0.3552353382,0,0.3552353382,-0.00682589817,0.3552353382,0,
0.3652489185,0,0.3652489185,0,0.3652489185,0,0.3652489185,-0.007032072067,0.3652489185,0,
0.3752493858,0,0.3752493858,0,0.3752493858,0,0.3752493858,-0.007135084152,0.3752493858,0,
