"/reference_point/position[3]_x","/reference_point/position[3]_y","/reference_point/position[0]_x","/reference_point/position[0]_y","/joint_states/effort[6]_x","/joint_states/effort[6]_y","/joint_states/position[3]_x","/joint_states/position[3]_y","/joint_states/effort[7]_x","/joint_states/effort[7]_y"
0.1270685196,0,0.1270685196,0,0.1270685196,0,0.1270685196,-0.0132174387,0.1270685196,0,
0.1370618343,0,0.1370618343,0,0.1370618343,0,0.1370618343,-0.0128050909,0.1370618343,0,
0.1470618248,0,0.1470618248,0,0.1470615864,0,0.1470615864,-0.01259891701,0.1470615864,0,
0.1570794582,0,0.1570794582,0,0.1570792198,0,0.1570792198,-0.01311427689,0.1570792198,0,
0.1670782566,0,0.1670782566,0,0.1670780182,0,0.1670780182,-0.0128050909,0.1670780182,0,
0.1770665646,0,0.1770665646,0,0.1770665646,0,0.1770665646,-0.01084636402,0.1770665646,0,
0.1870627403,0,0.1870627403,0,0.1870625019,0,0.1870625019,-0.0139391222,0.1870625019,0,
0.1970534325,0,0.1970534325,0,0.197053194,0,0.197053194,-0.01177422142,0.197053194,0,
0.2070553303,0,0.2070553303,0,0.2070548534,0,0.2070548534,-0.01424830818,0.2070548534,0,
0.2170705795,0,0.2170705795,0,0.2170705795,0,0.2170705795,-0.01115569973,0.2170705795,0,
0.2270565033,0,0.2270565033,0,0.2270560265,0,0.2270560265,-0.01290810299,0.2270560265,0,
0.2370553017,0,0.2370553017,0,0.2370553017,0,0.2370553017,-0.01218656921,0.2370553017,0,
0.2470631599,0,0.2470631599,0,0.2470629215,0,0.2470629215,-0.0130112648,0.2470629215,0,
0.2570550442,0,0.2570550442,0,0.2570548058,0,0.2570548058,-0.01270192909,0.2570548058,0,
0.267070055,0,0.267070055,0,0.2670698166,0,0.2670698166,-0.0132174387,0.2670698166,0,
0.2770524025,0,0.2770524025,0,0.2770521641,0,0.2770521641,-0.01290810299,0.2770521641,0,
